"","TS001","TS002","TS003","TS004","TS005","TS007","TS008","TS009","TS010","TS011","TS012"
"ITGA3",21.6460241961883,23.2155310139626,31.1381021552733,49.6651129538247,77.2413116121516,48.388266187003,60.408475447846,55.0322059630958,53.6048797377332,36.0446774835412,34.7053930019701
"ITGA5",8.39994968807308,12.4368916146228,9.90031965962537,17.8177100145077,14.9821509592535,6.66889566038823,24.454196844314,22.6398315670964,5.30048251138034,8.08923455076171,12.7001619318804
"ARTN",4.52304983203935,10.1567948186086,3.35333407826021,2.80593858496185,1.33174675193365,0.775452983766073,0.264369695614206,0.696610202064504,0.800072831906466,0.118959331628849,1.63467430806381
"CFB",3.87689985603373,3.93834901129723,1.59682575155248,7.2954403209008,3.82877191180924,4.34253670909001,5.15520906447701,5.05042396496765,3.10028222363756,2.97398329072122,7.29316229751546
"TAGLN",239.398566110083,200.026673468517,144.83209566581,255.761302019272,106.706208498684,86.695643585047,213.610714056278,265.060181885544,126.51151654521,88.1488647369769,106.631062556778
"EBP",76.2456971686633,37.7252378976892,25.0701642993739,40.1249217649544,37.4553773981339,47.4577226064837,36.3508331469533,63.2173758373537,43.1039238189609,73.8737449415151,64.3810189022054
"PDK4",41.030523476357,32.5431997249297,31.7768324558943,54.9963962652522,53.4363384213376,48.5433567837562,57.5004087960898,83.9415293487727,51.3046703460022,104.089415175243,50.6749035499781
"PECR",1.61537494001405,1.65825221528304,0.479047725465744,2.80593858496185,2.99643019185071,1.39581537077893,1.58621817368523,2.61228825774189,1.50013655982462,2.61710529583467,1.50893013052044
"FHOD3",25.1998490642192,30.8849475096467,26.1879423254607,31.2862152223246,73.2460713563506,28.6917603993447,45.0750331022221,63.3915283878698,66.7060723602016,55.7919265339301,25.6518122188475
"BEX4",128.906920213121,93.2766871096711,119.761931366436,121.777734587344,139.334003921058,176.803280298665,137.604426567194,132.878396043804,173.81582273168,154.290253122617,151.647478117304
"TMEM160",17.122974364149,15.7533960451889,6.22762043105467,4.34920480669086,2.16408847189218,1.70599656428536,1.98277271710654,2.43813570722576,3.00027311964925,1.07063398465964,3.14360443858425
"TMEM163",32.3074988002811,33.9941704133024,29.0622286782551,41.9487818451796,55.9333635812132,69.7907685389466,55.5176360789832,35.3529677547736,52.9048160098151,49.4870819576011,54.1957405211924
