"","TS001","TS002","TS003","TS004","TS005","TS007","TS008","TS009","TS010","TS011","TS012"
"CFB",3.2306827422664,3.80726599009947,1.79603270994217,7.12954743408503,3.7000909340182,4.41160444899591,5.70935823204123,5.14440906688482,3.33917132230214,2.90768961942759,7.06217263541047
"EBP",63.5367605979059,36.4696005367423,28.1977135460921,39.2125108874677,36.1965417458302,48.2125343354553,40.2582952259318,64.39381004411,46.4252529003943,72.2270101465813,62.3419377470717
"PDK4",34.1913923556528,31.4600400234535,35.7410509278492,53.7458191184871,51.6403995573845,49.3154354477043,63.681303357383,85.5036265599477,55.2578996239032,101.769136679966,49.0699236563865
"PECR",1.34611780927767,1.60305936425241,0.538809812982651,2.74213362849424,2.89572333966642,1.41801571574869,1.75672560985884,2.66090124149215,1.61572805917846,2.55876686509628,1.46113916594699
"TMEM160",14.2688487783433,15.2290639603979,7.00452756877446,4.25030712416608,2.09135574531464,1.73313031924839,2.19590701232355,2.48350782539267,3.23145611835691,1.04676826299393,3.04403992905624
"TMEM164",17.7687550824652,23.8455080432546,24.4260448552135,24.1307759307493,46.009826396922,41.5951276619615,34.6953307947121,27.1411926632199,31.9914155717334,40.3587319176549,27.5181209586684
"ALG5",41.9988756494632,32.0611872850481,21.9115990612945,16.4528017709655,12.0655139152767,14.9679436662361,14.2001986796923,13.6592930396597,14.8646981444418,14.5384480971379,13.3937756878474
"PHYH",61.9214192267727,48.2921633481038,53.8809812982651,34.9622037633016,30.244221547627,57.3508578369469,46.6996224620809,62.4424824670158,46.3175376964491,57.5722544646663,47.6087844904395
"IFI30",9.42282466494368,5.00956051328877,5.20849485883229,8.22640088548273,5.63057316046248,3.7813752419965,4.09902642300396,6.38616297958116,2.26201928284984,3.1403047889818,3.65284791486748
"DPM3",45.2295583917296,35.267306013553,23.7076317712366,21.1144289394057,19.6265693021835,26.3120693922256,18.0064375010531,20.4002428514398,23.4819144600602,18.9581363186679,23.4999882523141
"TH",4.038353427833,2.40458904637861,0.718413083976868,0.548426725698848,0.160873518870357,0,0,0.177393416099477,0.323145611835691,0,0.121761597162249
"ZFYVE21",110.112436798913,93.1778255471712,107.76196259653,88.570916200364,77.8627831332526,63.0229206999416,83.8836478707597,78.0531030837697,55.5810452357389,66.8768612468345,67.6994480222107
"MSRA",41.7296520876077,35.8684532751476,20.1155663513523,16.3156950895407,7.88280242464747,6.30229206999416,6.14853963450594,5.14440906688482,4.30860815780922,4.88491856063835,4.74870228932773
"SLC31A2",50.3448060669848,50.8971348150139,58.0118565311321,46.0678449587033,46.4924469535331,106.666293284651,50.2130736817985,41.5100593672775,75.8315035774422,54.6645648452387,52.6010099740918
"MRPL14",121.958273520557,105.200770779064,56.2158238211899,40.8577910645642,27.3484982079606,28.5178716167236,20.787919716663,24.3028980056283,29.0831050652122,27.3322824226193,23.7435114466386
"MRPL16",89.1129989741816,67.3284932986011,89.0832224131316,67.8678073052325,68.6929925576423,102.569803439155,71.7329624025694,62.7972692992147,88.326467235089,94.0928360846768,81.9455548901939
"MRI1",10.7689424742213,10.6202682881722,11.4946093436299,13.7106681424712,12.0655139152767,27.7300851079743,36.7448440062141,26.786405831021,28.3290986375956,23.3778245401978,16.9248620055527
"FADD",34.4606159175083,31.8608048645166,35.0226378438723,25.227629382147,19.3048222644428,20.9551211327306,16.2497118911943,17.9167350260471,22.0816168087722,21.5169031837642,20.0906635317712
"P2RY14",0.807670685566601,1.60305936425241,1.0776196259653,2.60502694706953,4.02183797175891,1.41801571574869,1.90311941068041,1.95132757709424,0.754006427616613,1.04676826299393,4.62694069216548
"HSD17B3",39.3066400309079,40.2768665268417,87.8259995161721,55.8024193398578,109.715739869583,100.048886611157,84.7620106756891,80.0044306608639,86.1721631561844,96.0700650258875,111.411861403458
"MRAP",0.269223561855534,0.400764841063102,0.538809812982651,0.822640088548273,1.44786166983321,1.26045841399883,0.731969004107851,0.354786832198953,1.29258244734277,0.465230339108414,2.55699354040724
"APOC1",8.88437754123261,7.41414955966739,1.61642943894795,8.77482761118157,12.7090079907582,5.8296201647446,7.02690243943537,6.56355639568064,6.3551970327686,14.654755681915,11.0803053417647
"TRADD",16.6918608350431,14.4275342782717,15.6254845764969,14.6704149124442,16.0873518870357,17.4888604942338,15.0785614846217,18.0941284421466,19.6041671180319,16.6319846231258,16.3160540197414
"WDR45",19.3840964535984,17.2328881657134,16.3438976604737,19.057828718035,24.7745219060349,23.1609233572285,24.7405523388453,26.431618998822,26.7133705784172,22.5636714467581,25.9352201955591
"TBC1D14",31.2299331752419,87.1663529312247,93.573304187987,45.5194182330044,36.0356682269599,41.5951276619615,33.377786587318,29.9794873208115,43.7323728017636,39.4282712394381,31.4144920678604
"PXMP2",12.6535074072101,8.61644408285669,8.4413537367282,6.44401402696147,3.53921741514784,0.630229206999416,1.75672560985884,2.12872099319372,1.72344326312369,1.51199860210235,2.19170874892049
"PXMP4",13.1919545309211,19.2367123710289,14.3682616795374,13.0251347353476,12.2263874341471,9.45343810499124,10.9795350616178,13.1271127913613,10.2329443747969,9.42091436694539,11.0803053417647
"HSD17B11",21.5378849484427,14.0267694372086,24.0668383132251,25.0905227007223,31.6920832174602,32.1416895569702,30.4499105708866,29.6247004886126,26.9288009863076,27.7975127617277,35.3108631770523
"EXTL1",4.57680055154407,5.41032535435188,2.51444579391904,8.08929420405801,3.7000909340182,5.19939095774518,4.68460162629024,12.2401457108639,5.49347540120675,5.46645648452387,3.16580152621849
"ACSF2",20.9994378247316,9.21759134445134,20.654376164335,23.1710291607763,43.757597132737,36.0806221007166,37.1840254086788,36.7204371325917,45.348100860942,50.4774917932629,48.2175924762508
"SEPP1",7.80748329381047,17.6336530067765,7.00452756877446,47.7131251357998,43.4358500949963,14.8103863644863,39.0871448193592,53.218024829843,25.6362185389649,26.983359668288,46.9999765046283
"PNP",12.6535074072101,15.0286815398663,20.1155663513523,20.017575488008,33.4616919250342,34.9777209884676,64.706059963134,38.8491581257854,46.4252529003943,26.5181293291796,31.1709688735359
"ABCG1",8.34593041752154,10.4198858676406,5.56770140082073,3.97609376131665,2.41310278305535,1.26045841399883,2.48869461396669,3.72526173808901,0.538576019726152,1.27938343254814,2.06994715175824
"EBF1",19.3840964535984,22.6432135200653,15.4458813055027,35.6477371704251,24.7745219060349,16.8586312872344,26.3508841478826,42.3970264477749,20.573603953539,32.7987389071432,44.1994597698966
"BDH2",25.3070148144202,25.2481849869754,26.5812841071441,33.1798169047803,44.5619647270888,47.7398624302058,46.5532286612593,29.4473070725131,40.0700558676257,26.7507444987338,42.7383206039496
"PYCARD",1.88456493298874,3.20611872850482,1.61642943894795,4.5245204870155,3.86096445288856,3.15114603499708,3.80623882136082,4.25744198638744,1.61572805917846,3.02399720420469,4.50517909500323
"CCDC51",27.4608033092644,30.2577455002642,26.5812841071441,16.7270151338149,14.3177431794617,14.1801571574869,10.6867474599746,12.7723259591623,17.1267174272916,16.9809073774571,15.8290076310924
"G0S2",60.3060778556395,46.0879567222567,49.3908995234097,34.6879904004522,40.8618737930706,40.0195546444629,49.9202860801554,57.4754668162304,57.7353493146435,42.3359608588657,45.5388373386813
"LAGE3",25.3070148144202,19.8378596326235,21.0135827063234,18.5094019923361,15.4438578115542,12.1319122347388,14.3465924805139,14.5462601201571,14.5415525326061,10.7002977994935,10.715020550278
"ACADVL",322.260603541074,395.955662970345,276.229830789106,227.871304527872,154.760325153283,114.386601070394,126.337850109015,139.07643822199,88.8650432548151,102.81590494296,123.100974731034
"KRT10",95.3051408968589,87.9678826133509,76.6905967145307,47.9873384986492,36.5182887835709,55.9328421211982,53.5801311006947,39.0265515418849,40.6086318873519,37.9162726373358,47.9740692819263
"ACAA2",94.4974702112923,77.3476143251787,58.0118565311321,47.8502318172245,34.266059519386,33.0870333674693,30.4499105708866,32.2856017301047,39.1006190321187,36.5205816200105,32.2668232479961
"MGST2",60.036854293784,44.2845149374728,72.2005149396752,61.5608999596957,68.3712455199015,74.6821610294308,70.8545995976399,63.5068429636126,96.9436835507074,52.3384131496966,62.3419377470717
"ACSM5",0.269223561855534,0.601147261594653,0.538809812982651,3.97609376131665,7.07843483029569,1.89068762099825,3.36705741889611,3.19308148979058,1.18486724339754,2.09353652598786,1.33937756878474
"PSMB10",30.6914860515308,14.6279166988032,16.523500931468,14.1219881867453,10.1350316888325,7.40519318224314,9.8083846550452,15.255833784555,8.29407070378275,7.44368542573463,9.25388138433096
