"","logFC","logCPM","PValue","FDR"
"MAGEC2",-9.94090344251096,5.09393368469581,1.86888615955699e-96,4.61614881410577e-94
"SLC2A14",-6.97009290156416,5.24218792639028,9.19829959782251e-58,1.13599000033108e-55
"TJP3",-6.80144711385095,4.57456922673709,2.09389535576737e-45,1.72397384291514e-43
"GLDC",-5.96514077864906,2.82147619822316,1.18474690773062e-32,7.31581215523657e-31
"RHPN1",-4.18595601171418,4.193867893519,2.16479713548284e-31,1.06940978492852e-29
"MAGEB16",-8.4265457818989,2.20157135317687,2.097044311522e-28,8.63283241576555e-27
"SCIN",-5.1232539009423,3.33375269559711,6.11975276164701e-28,2.15939847446687e-26
"TLE1",-2.46328696689735,5.58949245114492,6.92893823840864e-26,2.13930968110867e-24
"WNT7A",-7.49466133955416,1.91058211783285,1.5861454934305e-25,4.35308818752593e-24
"GJB2",-6.02363749863997,1.23120260000478,5.69770820949667e-23,1.40733392774568e-21
"PIK3CG",-4.51457995112655,3.4840530069531,3.20669499274844e-22,7.2004878473533e-21
"SYT5",-6.32959320818261,2.35060439653594,5.02555870863465e-22,1.03442750086063e-20
"ACTN3",-5.82492180757402,2.87073180047946,2.92184425285065e-21,5.55150408041624e-20
"CLDN18",-5.22373046727787,1.81027719820408,6.70907525053476e-21,1.18367256205863e-19
"RHBDL3",-4.03552479960355,2.362052337329,1.66079265824242e-20,2.73477191057252e-19
"RABIF",-2.76019215976456,5.86087347571527,1.18587263216853e-19,1.83069087591017e-18
"PVRL4",-5.96834252038204,0.920412637733068,7.22374887755511e-19,1.0495682192683e-17
"MBOAT2",-3.0849433702645,3.73369707154792,1.4357735891493e-17,1.97020042511043e-16
"GJA3",-3.88480030519779,2.19331266209705,1.76933299384218e-16,2.30013289199483e-15
"BMP6",-3.24214554440756,2.6347982381062,2.02682924324128e-16,2.50313411540298e-15
"WNT3",-4.68414313011294,2.71417847267232,6.61350831551567e-16,7.77874549491605e-15
"HEY1",-3.19916049551649,2.9459661138323,2.67459989562123e-15,3.00284624644748e-14
"GJB6",-6.24456164479407,0.655491497811065,1.54681009092781e-14,1.66113953243117e-13
"WNT7B",-4.85095890063848,0.479533891419254,5.32502503692241e-13,5.48033826716598e-12
"JAG2",-2.18958043059231,4.75363199500103,6.09303750954787e-13,6.0199210594333e-12
"PMAIP1",-3.28269142977499,2.12818592767316,3.37204115065795e-12,3.20343909312505e-11
"KCNG2",-5.05640024888715,0.142165528709662,9.21307729878069e-11,8.42825960295863e-10
"AXIN1",-1.71612862296535,5.46610913825422,3.49420028986045e-10,3.08238382712689e-09
"POU3F1",-2.95269606361921,2.47288928353532,1.59170633787475e-09,1.35569470846573e-08
"MAPK12",-2.38482516835863,3.13784532740391,2.15630818878461e-09,1.77536040876599e-08
"WNT2",-3.93190074202373,1.82507750445248,1.53899599711501e-08,1.22623229447551e-07
"CDH1",-2.71303718281245,1.18926393007654,1.48594011010581e-07,1.14696002248792e-06
"SPTBN5",-2.09314112326213,3.10889948125148,1.53796011347967e-07,1.15113984251357e-06
"RAB40B",-1.78382416799366,3.57487629674561,1.59652616332803e-07,1.15982930100595e-06
"RAB39A",-3.20234883567905,-0.0294401962327887,2.1351442371602e-07,1.50680179022448e-06
"LAMA1",1.18190387348762,8.0172912484942,2.29066367143243e-07,1.57164979678836e-06
"SPTB",-1.70989651513044,3.1730128436975,4.11602163923678e-07,2.71312917637589e-06
"RRAS2",-1.22320571920167,4.85231544553915,4.17404488673215e-07,2.71312917637589e-06
"FZD7",-1.68662256471613,3.63660818230361,6.36900575339502e-07,4.03370364381684e-06
"FGF8",-4.45315891302075,-0.558010969248164,6.60500150546573e-07,4.07858842962509e-06
"VDR",-1.80353307591848,2.44368690163248,9.95260531594575e-07,5.99583783667951e-06
"CRB2",-2.64275693896513,1.52992710711543,1.04017279428477e-06,6.11720667115094e-06
"ARTN",-2.69686345886302,1.3502129648791,2.66820577517646e-06,1.53266703829904e-05
"ACTN2",1.18107811662256,6.2942527652308,3.01434865519063e-06,1.68860982617641e-05
"DSG3",-3.26440814477081,-0.372561645808786,3.07641466307444e-06,1.68860982617641e-05
"AMOT",-1.22654736161545,4.46517430161277,3.62319738890867e-06,1.9454994675227e-05
"WNT5B",-1.64403766387102,2.65254995448792,3.73722041705487e-06,1.96402860215437e-05
"WNK4",-2.44640904621544,1.00539761682207,4.57049476930279e-06,2.35190043337039e-05
"MYO7A",1.45058052035457,8.7085289725426,6.27485265075515e-06,3.16303796885004e-05
"DUSP5",-2.76881111133485,6.16614290509896,9.16645180958773e-06,4.52822719393634e-05
"INHBB",-1.78305585432146,6.36186326392703,1.09668352210493e-05,5.3113888227435e-05
"CDKN1A",1.11980184611242,7.99864357151646,1.3630358039822e-05,6.47442006891547e-05
"FRMPD1",0.99644906431058,7.20225497409758,2.48437838324094e-05,0.000115781407671795
"HMGCS2",0.975374661793689,7.78198161079097,3.4123776750357e-05,0.000156084682543299
"NRTN",1.80995260446993,3.46342639216315,4.31486407682983e-05,0.000193776623086721
"CCL20",-2.8418104770136,0.0496547065420625,4.79969864896467e-05,0.00021170099398112
"REEP1",0.866966771651673,9.3201721631451,5.64677249359216e-05,0.000244693474722327
"PKN3",-1.77053396904207,2.77400940378718,6.87656793245435e-05,0.000292846944709694
"DKK3",0.856276278492821,8.72379014065436,9.01595379129912e-05,0.000377447557025573
"GPRASP1",1.17212387092542,6.78091883199237,0.000108530054522375,0.000446782057783776
"PKP1",-2.58671102714552,-0.591654742861022,0.000110594326570328,0.000447816371522475
"RHOB",1.24920511059664,8.69787980185658,0.000141572011294982,0.000564004625642914
"FGF17",-2.27045758382538,0.0558517193347463,0.000160537442550839,0.000629408703334243
"KITLG",0.990821513170172,6.61464324042851,0.000172961861849605,0.000667524685575818
"TSPAN15",-0.889475408118075,4.73098438422476,0.00021775483631705,0.000827468378004791
"HRAS",-1.17797683651186,4.53409489900059,0.000233153968469709,0.000872561063818458
"MRO",0.888357120554806,8.9189162382887,0.000254421587145574,0.000937942269029207
"PRND",0.951126037369021,10.1275163254354,0.000285778160627128,0.00103804714227795
"BMP4",-1.75446833788248,1.62651674797641,0.000304505528948154,0.00109004153116223
"RAB3D",-1.33363994886786,3.20426440446733,0.000342057286379551,0.00120697356765356
"PHLDA1",1.11661063713195,6.38265626525569,0.000373269976966759,0.00129855893395478
"SLC52A3",0.737369774077436,8.55642152205021,0.000387754127981573,0.00133021207793678
"KCNK6",-1.46147591133832,2.6940340348196,0.000394436573826026,0.00133460046212368
"RHOJ",1.25656928926514,4.81256326457069,0.000408807391975074,0.00136453278132221
"NUAK2",1.0023680165871,4.90140036055469,0.00042377418926492,0.00137993427732815
"MFGE8",0.766797155859936,7.60261256809002,0.000424595162254814,0.00137993427732815
"CAMSAP3",0.70254377987068,7.33516619607426,0.000462996748630668,0.00148519736249058
"PLEKHH2",1.12900323044776,6.76791709576277,0.000485056240327911,0.00151641718963751
"CLDN15",-1.00610533267729,4.24159423876237,0.000492268073327326,0.00151641718963751
"CLDN11",0.739942971329636,10.1437869973964,0.00049654468615582,0.00151641718963751
"GDNF",-2.34878796147168,0.83190129867512,0.000497286608747523,0.00151641718963751
"RNF144A",-0.915491121274151,4.37935399032267,0.000541536099085648,0.00163121239602628
"PVRL2",0.679448981957675,8.21849543654263,0.000762330539679537,0.00225054398025749
"PIK3R1",0.814851509652311,6.63701827434505,0.00076536718356935,0.00225054398025749
"RAB38",-1.48217549433312,2.2532265772466,0.000795080734021441,0.00231041107415642
"SLC25A53",1.09843343336474,3.22609062678526,0.000822623844890253,0.00236265220567317
"GAS6",0.599272128067701,9.26440239633416,0.000841041368020467,0.00238778411380523
"LAMA5",1.13505276911675,7.35350042682193,0.00098375866169221,0.00276123169815882
"SDC4",0.64188559649914,8.30536443490663,0.00104230001727636,0.00286525761354581
"MPZL1",0.682852345118276,8.58682951292107,0.00104402099278997,0.00286525761354581
"ITGB5",0.84944820030354,6.67702421417003,0.00110194777323954,0.00299100109879305
"FAM122B",0.67509532547937,8.25951675966633,0.00126528847215225,0.00339702448501745
"PIK3CA",-0.871556011381468,4.39401622667367,0.0014366686992837,0.00379729247360697
"BMP7",-1.97410519912411,1.57643553357703,0.00144512345149415,0.00379729247360697
"DRP2",-1.44977638699043,2.03909530028214,0.00150454317167317,0.00391181224635024
"SEMA6C",0.611325615233984,8.22929629408016,0.00171536727484262,0.00441349705089715
"FSTL3",-0.929872075245836,7.60734224871451,0.00184133635899893,0.00468876371827562
"PRKACB",0.801397136797853,6.05026449605508,0.00193958290126388,0.0048885405776753
"ITGB8",0.772147585837967,6.96940478397174,0.00199732450510372,0.00498138976374497
"TMEM206",-0.954436367093531,4.45705107456043,0.00201675698937043,0.00498138976374497
"TPD52",-0.837882156744106,4.47377054936578,0.00214296288931855,0.00524071122437308
"SERPINA5",0.693805198870659,11.714989118347,0.00238794436232632,0.00578257115190786
"SPTBN4",-0.721367138404531,4.92443046178885,0.00305574021601199,0.00732784304228118
"HMGN5",0.693546329119017,7.68512978297302,0.00347077819851132,0.00824309822146438
"TSPAN13",-0.863883001210644,4.39953918057284,0.00380596487467,0.00895307927660466
