"","logFC","logCPM","PValue","FDR"
"DTX4",-0.204995095385095,4.35677067496344,0.487684731007143,0.565531119994199
"PIM2",0.152022685787047,5.34877743807888,0.512939063351798,0.590812485579489
"CDH23",0.167020581116524,6.58844791892299,0.514269977326276,0.590812485579489
"GADD45A",0.19408162840706,4.7950505189436,0.526732317303462,0.602328159138681
"SESN2",-0.159280347736457,6.19745783035317,0.532402603981956,0.606006650615406
"RAB6C",0.291563827793065,1.97541459056149,0.550532890384642,0.623768917087186
"SNX18",0.124282795807727,6.26692687394614,0.581157277029893,0.655460490531431
"CLDN12",0.130307790026785,5.93581582355484,0.593162107966806,0.665959275762733
"CLDN5",-0.235830626449467,3.69369816598564,0.598523914865679,0.668938493085171
"VAMP1",-0.148552935734246,5.26843960534341,0.618670173126574,0.687853575059741
"FASN",0.136221975022876,8.07287396832894,0.621017600155151,0.687853575059741
"ZFPM1",0.111309699089682,5.49223720480505,0.647461581430023,0.713942011666141
"SLC45A4",-0.107845862094302,6.4952290898572,0.658002489248067,0.722340510418989
"SYCN",0.13267993330568,4.85567408862169,0.676356771644495,0.739204082284028
"EDN1",-0.182516535069958,3.85147365610085,0.687818943606914,0.746770611867782
"PDGFB",-0.162092594223799,3.95533287278928,0.689326718647183,0.746770611867782
"NPR1",-0.142110443558674,2.97000384023654,0.713619330668901,0.769711679804447
"ACVR1",-0.0848705713333052,4.52407301921667,0.725228080750364,0.778831895414522
"CLDN23",0.176869998844842,1.71052327911987,0.730843216387306,0.781464391548332
"WNT6",0.158971561417022,3.85189198708977,0.738617458435462,0.784117188492235
"FLVCR2",-0.0738565868045375,6.61062718736872,0.739673299265954,0.784117188492235
"RAB12",0.0784029695509357,5.7558940487565,0.755939337699728,0.797935967571935
"PSTPIP2",-0.106881311393874,2.46456288897846,0.761935800426036,0.800843160447791
"ITGA5",0.109258593682612,3.7394871022491,0.807973251272703,0.845633021459143
"PARVB",-0.0573362169614971,3.75378340528809,0.82717467194929,0.862076556841665
"FBXO41",-0.0584436248940252,5.02236438302919,0.837411883358889,0.869078719284225
"PFKFB3",-0.0450667836179891,6.79708262683899,0.852047362699271,0.880567776513472
"HRCT1",0.116192066053812,2.52287956645201,0.859174893151838,0.884234160868767
"RALB",-0.0313773512263157,7.33085045883534,0.864194897342546,0.885710123002526
"WNT2B",-0.0499374850794142,3.61447881099799,0.887877928279859,0.906222513574898
"PRR5L",-0.0380745492892656,3.4264729254484,0.894045629581681,0.908762430068622
"ACTA2",-0.0222384624346377,8.54530602529944,0.92893216546062,0.94035346257694
"HAPLN3",0.0422705129096695,2.6385235697253,0.955240998320346,0.96303888402092
"MYH11",0.0217496083694064,9.53638856702949,0.972013510705353,0.975964785139114
"SALL4",0.00579334437575325,4.25748733436295,0.994801630028901,0.994801630028901
