"","TS001","TS002","TS003","TS004","TS005","TS007","TS008","TS009","TS010","TS011","TS012"
"ITGA3",23.3449019944724,23.7357710397933,29.2351570600785,50.0394936042535,78.1948904112428,48.1287777326986,58.07559950551,55.227598907351,49.6976614349558,36.4752893704115,36.5061266030667
"ITGA5",9.05921569934751,12.7155916284607,9.29528070628138,17.9520217167802,15.1671123642497,6.633132828545,23.5098159923837,22.7202147403659,4.91413443293406,8.18587352207254,13.359126039528
"ARTN",4.87803922272558,10.3843998299096,3.14840152954692,2.82709003413862,1.34818776571108,0.771294514947093,0.254160172890635,0.699083530472798,0.741756140820235,0.120380492971655,1.7194914704343
"TAGLN",258.187647431404,204.509098691076,135.980961299955,257.689256611735,108.023544727601,86.230726771085,205.361419695633,266.0012833449,117.2901897672,89.2019452919964,112.163751302176
"FHOD3",27.1776470980425,31.5770525440107,24.5875167069379,31.5220538806456,74.1503271141096,28.5378970530424,43.3343094778532,63.6166012730246,61.8439182408871,56.4584512037062,26.9827892283536
"BEX4",139.024117847679,95.3669372134552,112.442911769533,122.695707481616,141.054144987522,175.855149407937,132.290369989575,133.350183437686,161.146521593196,156.133499384237,159.515901026443
"TMEM163",34.8431373051827,34.7559504511259,27.2861465894066,42.2649960103723,56.6238861598655,69.4165063452384,53.3736363070333,35.4784891714945,49.0486248117381,50.0782850762085,57.0077556736295
"LIF",1.39372549220731,3.6027509613972,2.24885823539066,5.37147106486337,5.22422759213045,1.07981232092593,12.0726082123051,8.03946060043717,2.31798794006324,8.18587352207254,3.30671436621981
"ADRA2B",10.8013725646066,33.2724647611388,4.79756423550007,5.79553456998416,8.59469700640816,75.5868624648151,85.6519782641438,10.3114820744738,2.59614649287082,7.34321007127096,6.08435443384445
"ADRA2C",20.9058823831096,13.3513712098837,11.6940628240314,9.1880426109505,7.58355618212484,9.56405198534395,5.46444371714864,12.0591909006558,7.51028092580488,8.18587352207254,11.2428288451473
"SYT5",14.9825490412286,29.2458607454596,6.14687917673446,5.79553456998416,0.168523470713885,0.154258902989419,0.381240259335952,0.174770882618199,0,0.120380492971655,0.132268574648792
"WNT3",30.6619608285608,25.8550363112034,6.89649858853135,6.78501608193268,1.34818776571108,0.308517805978837,0.635400432226586,0.699083530472798,0.185439035205059,0.24076098594331,1.32268574648792
"WNT2",9.75607844545116,20.1330200783961,1.64916270595315,3.95792604779406,0.505570412141656,0.308517805978837,1.39788095089849,0.524312647854598,0.278158552807588,0,0.925880022541546
"WNT4",6.27176471493289,6.56972234137136,4.19786870606256,7.20907958705347,7.41503271141096,3.39369586576721,2.41452164246103,7.51514795258258,5.00685395053659,2.04646838051814,4.10032581411256
"POU3F1",13.9372549220731,17.801828279845,9.59512847100014,8.33991560070892,0.674093882855542,2.00536573886244,1.39788095089849,1.2233961783274,0.463597588012647,4.21331725400793,1.05814859719034
"RIN3",61.3239216571216,54.46511747524,91.4535682392201,74.4938223995525,117.460859087578,132.354138764921,93.1497033644176,96.2987563226279,127.396617185875,102.684560504822,111.502408428932
"TUBG2",36.9337255434937,29.8816403268826,28.0357660012035,26.9987098260238,35.0528819084882,39.1817613593123,42.6989090456266,47.362909189532,34.3062215129359,38.6421382439013,38.8869609467449
"ACTN3",14.2856862951249,39.4183340482282,14.692540471219,10.0361696211921,0,0,0.127080086445317,0.524312647854598,0,0.72228295782993,0.925880022541546
"ACTN2",32.0556863207681,35.3917300325489,35.0821884720943,69.5464148398099,113.079248849017,92.0925650846829,91.3705821541831,107.484092810193,99.4880423875141,97.026677335154,86.1068420963638
"RAB6C",2.09058823831096,4.23853054282023,4.79756423550007,1.27219051536238,3.70751635570548,5.55332050761907,4.4478030255861,2.97110500450939,5.74861009135682,2.52799035240476,2.24856576902947
"TSPAN15",45.2960784967375,41.1137462653562,31.783863060188,31.5220538806456,20.3913399563801,17.4312560378043,18.0453722752351,17.4770882618199,24.1070745766576,26.2429474678208,16.7981089803966
"TSPAN17",148.083333547027,115.711883818992,128.334843299627,126.794988031117,170.04018195031,235.090568155874,172.574757392741,156.070398178052,166.80241216695,158.661489736641,170.361924147644
"NOTCH1",37.6305882895973,68.8761213208288,53.0730543552195,50.7462661127881,39.771539088477,25.9154957022223,38.2511060200405,40.7216156500405,21.2327695309792,25.6410450029625,28.9668178480855
"GLDC",21.2543137561615,25.4311832569214,18.8904091772815,10.8842966314337,0,0.154258902989419,0.381240259335952,0.699083530472798,0.278158552807588,0,0.529074298595169
"MARK4",177.003137510328,247.742110227843,309.143045425036,226.025848229382,320.700164768524,383.487632831695,307.152568938332,293.09077015072,363.27506996671,348.862668631856,387.282386571664
"RAB27A",45.2960784967375,27.1265954740495,46.0266318843288,25.8678738123683,25.1099971363689,34.5539942696298,32.4054220435559,21.3220476794203,21.9745256717995,36.5956698633831,28.7022806987879
"FAM122B",232.055294452517,157.461409665772,272.11184648227,225.601784724262,366.707072273415,472.957796565557,366.117729048959,299.032980159739,343.340373682166,333.09282405257,298.530172982324
"CDH23",52.2647059577741,92.8238188877631,114.391922240205,92.1631351129189,72.128045465543,103.661982808889,77.7730129045342,101.89142456641,132.496190654015,99.795428673502,115.867271392342
"PNMT",11.8466666837621,5.72201623280731,8.5456612944845,3.6752170443802,1.34818776571108,3.08517805978837,1.52496103734381,2.62156323927299,2.41070745766576,4.93560021183786,5.81981728454686
"STRA6",24.3901961136279,33.6963178154208,36.2815795309693,16.6798312014178,21.2339573099496,24.0643888663493,23.2556558194931,26.9147159232027,24.0143550590551,15.4087031003718,23.4115377128362
