"","logFC","logCPM","PValue","FDR"
"HACL1",-2.52619255612394,5.02226066945193,1.40187471321435e-26,1.79439963291437e-24
"MSRA",-2.35169604066602,3.80647570334823,9.54290238359806e-17,6.10745752550276e-15
"ACAT1",-2.22478766676411,6.40491079133084,4.90066056868747e-16,2.09094850930665e-14
"MRPL14",-1.66008665090496,5.52825010867098,2.16601447832936e-11,6.93124633065395e-10
"PXMP2",-2.23092263862776,2.20674121787093,9.29548218617451e-10,2.37964343966067e-08
"PXK",-1.84867401621269,3.47926841333347,1.64554825200953e-09,3.51050293762034e-08
"RBP4",-2.63840133141242,1.31269227328013,1.18903276611966e-08,2.17423134376167e-07
"ACADVL",-1.34818942860327,7.56168268287596,2.08133140990289e-08,3.33013025584462e-07
"TMEM160",-2.16225264730357,2.38355866794293,3.15241910128534e-08,4.48344049960582e-07
"CNIH4",-1.35143280365471,3.97601618522639,8.1379929354608e-08,1.04166309573898e-06
"ARL6IP4",-1.2747138896161,6.85511415336295,1.45091924251681e-07,1.68834239129229e-06
"PUS1",-0.964144907796689,4.91583010216974,2.14897661515391e-07,2.29224172283084e-06
"NUDT7",-1.35566147607151,3.58605657583147,3.07955802778214e-07,3.03218021197011e-06
"ACSF2",1.18394031296911,5.09488751567862,6.10445381414833e-07,5.58121491579275e-06
"TSFM",-1.0402206455979,5.25929510789842,2.011573162404e-06,1.71654243191808e-05
"PNP",1.19529902965155,4.98278140076885,2.79376757236634e-06,2.23501405789307e-05
"ABCG1",-1.86762571353473,1.97934238564825,2.00018893105277e-05,0.000142487189443157
"HEXB",0.889663158760535,5.82730313590295,2.07408101408922e-05,0.000142487189443157
"ALG5",-1.01373595659373,4.26872071860878,2.11504421829686e-05,0.000142487189443157
"BOLA1",-0.866868128473387,3.72906395257659,4.80921547570899e-05,0.000307789790445375
"USE1",-0.947425992443828,4.11957740852232,5.4513960215674e-05,0.00033227556702887
"SNX21",0.833991520854938,6.20105627584193,7.1126713658234e-05,0.000413828152193362
"KRT10",-0.803959787649129,5.82223723639326,9.74458877727078e-05,0.000542307549343765
"ECI1",-0.869190794762576,4.28712256709623,0.00012081829577073,0.000644364244110559
"ETFDH",-0.740668050150829,4.87072985581035,0.000139445805616143,0.000713962524754653
"MRI1",1.05655011912007,4.33868681458942,0.000174620999968759,0.000859672615230813
